Columna;Tipo;No_Nulos;Valores_Ãšnicos
IDENPA;float64;19214;17
Country Name;object;19214;17
EDAD;float64;19214;82
Grupo_Edad;category;19214;6
SEXO;float64;19214;2
Sexo_Labels;object;19214;2
REEDUC.3;float64;19214;9
Anos_Estudio_Limpio;float64;9633;8
P23STM.1;float64;19214;10
Confianza_TV_Limpia;float64;18828;9
P23STM.2;float64;19214;10
Confianza_Redes_Limpia;float64;16589;9
P23STM.3;float64;19214;10
Confianza_Otro_Limpia;float64;14755;9
P30ST.A;float64;19214;6
P30ST.B;float64;19214;6
P30ST.C;float64;19214;6
P30ST.D;float64;19214;6
P30ST.E;float64;19214;6
P28ST;float64;19214;4
P28ST.A;float64;19214;4
P28ST.B;float64;19214;4
P28ST.C;float64;19214;4
P28ST.D;float64;19214;4
P29ST.A;float64;19214;6
P29ST.B;float64;19214;6
P29ST.C;float64;19214;6
P29ST.D;float64;19214;6
P29ST.E;float64;19214;6
